"Date","#1","#2","#3","#4","#5","#6","#7","S1","S2","S3"
"27/08/24","1","13","14","18","22","37","42","27","28","32"
"20/08/24","18","20","21","29","37","38","40","23","31","46"
"13/08/24","4","6","21","22","34","40","42","5","27","44"
"06/08/24","3","7","9","32","36","39","43","23","29","42"
"30/07/24","9","25","27","29","40","42","43","24","35","45"
"23/07/24","1","10","12","15","29","33","42","4","30","32"
"16/07/24","1","10","15","18","33","36","42","9","12","27"
"09/07/24","12","18","21","26","37","39","44","2","17","33"
"02/07/24","14","29","30","31","36","38","46","23","34","41"
"25/06/24","2","9","12","14","31","38","40","4","8","15"
"18/06/24","3","9","10","21","28","29","30","6","17","47"
"11/06/24","3","12","26","30","41","45","46","18","35","42"
"04/06/24","1","13","15","16","28","33","36","21","26","45"
"28/05/24","5","10","13","15","29","31","42","17","39","40"
"21/05/24","3","7","8","25","26","30","47","4","15","16"
"14/05/24","7","11","13","16","25","28","47","8","18","34"
"07/05/24","15","24","35","43","45","46","47","19","20","38"
"30/04/24","3","6","15","24","32","44","47","18","33","38"
"23/04/24","6","9","14","19","21","30","45","5","16","33"
"16/04/24","12","13","17","21","28","32","33","7","9","22"
"09/04/24","1","2","4","18","28","37","47","11","24","27"
"02/04/24","2","15","21","22","41","43","47","6","23","28"
"26/03/24","6","8","9","23","25","33","47","3","32","37"
"19/03/24","1","13","18","23","28","31","47","14","36","44"
"12/03/24","2","18","19","23","33","36","38","13","35","40"
"05/03/24","6","16","24","25","29","37","47","13","17","28"
"27/02/24","1","4","8","10","18","38","39","5","11","21"
"20/02/24","7","11","17","24","33","39","43","26","27","44"
"13/02/24","6","7","8","16","17","21","32","12","14","25"
"06/02/24","3","10","13","20","31","38","39","12","33","41"
"30/01/24","4","20","25","27","28","29","34","12","26","38"
"23/01/24","2","15","18","20","26","27","44","1","10","42"
"16/01/24","4","9","17","24","29","37","47","14","20","27"
"09/01/24","5","6","21","22","25","38","42","16","36","44"
"02/01/24","3","21","24","30","36","44","46","18","31","37"
"26/12/23","17","22","24","28","31","42","44","3","16","39"
"19/12/23","12","18","25","37","40","43","47","28","30","32"
"12/12/23","6","19","30","39","42","44","47","8","33","46"
"05/12/23","3","11","17","19","32","36","41","6","22","34"
"28/11/23","6","19","22","24","33","34","43","10","25","38"
"21/11/23","8","12","14","21","25","36","41","19","22","23"
"14/11/23","1","4","9","12","32","38","45","10","18","43"
"07/11/23","3","16","21","22","30","41","43","25","33","46"
"31/10/23","3","13","21","31","37","44","45","11","30","33"
"24/10/23","3","5","25","30","39","40","47","19","33","44"
"17/10/23","14","18","21","23","33","39","46","28","37","41"
"10/10/23","2","6","12","15","29","31","35","8","28","47"
"03/10/23","7","19","21","24","27","43","47","11","29","39"
"26/09/23","1","9","10","13","20","34","46","19","30","42"
"19/09/23","14","23","32","33","35","36","45","12","20","30"
"12/09/23","4","5","12","24","25","27","44","7","39","42"
"05/09/23","2","5","13","18","21","31","41","9","40","46"
"29/08/23","14","17","19","22","27","46","47","29","30","40"
"22/08/23","10","12","33","36","37","40","42","5","27","28"
"15/08/23","6","8","23","24","27","41","47","4","13","28"
"08/08/23","3","7","19","20","22","35","47","4","10","17"
"01/08/23","11","13","17","19","34","36","40","12","14","35"
"25/07/23","1","10","14","32","39","43","44","8","23","47"
"18/07/23","7","11","17","20","22","24","41","6","33","47"
"11/07/23","4","9","26","28","35","42","46","21","40","47"
"04/07/23","3","12","20","21","29","36","40","1","5","6"
"27/06/23","5","16","31","37","39","43","47","14","30","40"
"20/06/23","5","19","22","23","30","36","38","11","42","47"
"13/06/23","5","12","14","21","22","35","37","17","46","47"
"06/06/23","1","3","5","8","19","26","46","28","35","40"
"30/05/23","10","17","20","30","41","42","43","1","6","14"
"23/05/23","3","4","5","15","18","41","45","25","33","42"
"16/05/23","5","17","21","22","34","37","45","35","41","47"
"09/05/23","3","11","21","28","35","40","46","20","39","44"
"02/05/23","1","7","20","26","28","29","45","4","11","16"
"25/04/23","7","8","9","21","24","28","31","2","10","11"
"18/04/23","3","4","5","6","26","34","46","15","22","29"
"11/04/23","9","12","15","19","21","46","47","16","30","34"
"04/04/23","2","19","26","28","39","42","47","9","23","37"
"28/03/23","3","7","15","16","19","35","38","13","32","39"
"21/03/23","1","4","6","9","19","30","38","10","13","37"
"14/03/23","3","18","27","34","40","41","44","5","12","46"
"07/03/23","4","26","28","31","33","44","47","9","11","20"
"28/02/23","1","5","6","29","31","39","42","3","27","44"
"21/02/23","1","3","4","21","24","36","38","43","44","46"
"14/02/23","5","8","14","18","27","38","41","2","11","13"
"07/02/23","5","7","14","18","20","22","43","1","2","33"
"31/01/23","5","6","9","10","24","27","34","13","26","39"
"24/01/23","7","8","18","30","43","44","46","9","10","32"
"17/01/23","9","10","11","33","37","38","46","21","24","32"
"10/01/23","7","10","26","27","37","38","42","33","34","47"
"03/01/23","7","20","24","30","35","41","43","17","19","40"
"27/12/22","4","8","12","19","21","27","33","7","16","24"
"20/12/22","9","10","12","14","27","29","37","31","40","47"
"13/12/22","11","13","17","25","35","37","38","14","23","42"
"06/12/22","2","5","11","24","32","34","44","20","39","46"
"29/11/22","3","9","11","15","20","24","40","26","28","45"
"22/11/22","1","12","15","19","22","27","40","23","33","35"
"15/11/22","4","11","14","22","25","33","44","19","23","42"
"08/11/22","1","2","19","23","28","30","40","21","25","44"
"01/11/22","6","9","13","18","26","30","31","16","22","37"
"25/10/22","1","7","9","15","23","32","39","18","36","40"
"18/10/22","8","14","15","21","25","37","42","13","17","45"
"11/10/22","16","19","23","27","31","32","47","2","14","45"
"04/10/22","5","17","20","37","39","42","47","22","29","38"
